protocol,domain,period,org,party
TCP,a38uzlrxc8a6s4-ats.iot.us-east-1.amazonaws.com,60,amazonaws.com,2
NTP,*.linksys.pool.ntp.org,600,ntp.org,2
TCP,deviceapis.xwemo.com,3600,xwemo.com,1
