protocol,domain,period,org,party
NTP,ntp.exact-time.org,4215,n/a,3
NTP,mon2.hostin.cc,4194,REDACTED FOR PRIVACY,3
NTP,purple.bonev.com,4255,PrivateName Services Inc.,3
NTP,helsinki-01.ea.gr,4249,ea.gr,3
TCP,*.compute-1.amazonaws.com,30,amazonaws.com,2
TCP,3.90.178.36,30,178.36,3
