Domain,Flow
m-72556905.kinesisvideo.us-west-2.amazonaws.com,12
r-5ed42e69.kinesisvideo.us-west-2.amazonaws.com,11
c1ybkrkbr1j10x.credentials.iot.us-west-2.amazonaws.com,11
api.wyzecam.com,5
wyze-membership-service.wyzecam.com,4
kinesisvideo.us-west-2.amazonaws.com,4
