Domain,Flow
images-na.ssl-images-amazon.com,32
api.amazonalexa.com,10
device-metrics-us.amazon.com,9
192.168.10.188,8
m.media-amazon.com,4
dp-rsm-prod.amazon.com,4
device-artifacts-v2.s3.amazonaws.com,3
avs-alexa-5-na.amazon.com,3
device-messaging-na.amazon.com,3
abk6gs5nzngf.na.api.amazonvideo.com,3
todo-ta-g7g.amazon.com,2
fls-na.amazon.com,2
dcape-na.amazon.com,2
wl.amazon-dss.com,1
spectrum.s3.amazonaws.com,1
