Domain,Flow
*.compute.amazonaws.com,950
api.amazonalexa.com,133
todo-ta-g7g.amazon.com,1
softwareupdates.amazon.com,1
ffs-provisioner-config.amazon-dss.com,1
dss-na.amazon.com,1
device-messaging-na.amazon.com,1
arcus-uswest.amazon.com,1
