meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
92.0,84,100,11.860817748044816,0.0,-2.0,0.0040695,3.31216605e-05,0.0040695,-2.0,0.0,2,1,1,2,0,0,0,84.0,100.0,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065451.123161,DNS,neu.edu
326.8235294117647,66,1514,11.860817748044816,1.6005234981936398,0.9331678649222002,0.005711705882352941,3.3837399970588227e-05,0.0032920000000000002,-1.2857131204896248,0.4712864653207438,17,7,10,17,0,0,0,394.5,230.14285714285714,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065449.642138,TCP,czfe14-front01-iad01.transport.home.nest.com
366.9230769230769,66,1514,11.860817748044816,1.496289774313739,0.7440418773829038,0.008605384615384615,0.00012466541092307694,0.004637,3.425628172519014,1.9700492614292318,13,5,8,13,0,0,0,472.875,197.4,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065450.226289,TCP,czfe14-front01-iad01.transport.home.nest.com
479.2142857142857,66,3253,11.860817748044816,2.148185641253363,4.544026893093332,0.010943321428571429,0.0007886548674854498,0.0025965,11.350778529174116,3.473554341243052,28,11,17,28,0,0,0,540.2941176470588,384.8181818181818,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065451.135169,TCP,logsink.devices.nest.com
209.72727272727272,66,1002,0.0,2.015429952338073,2.6980103737186765,0.028859999999999997,0.0048190867034,0.0052770000000000004,5.672160568318807,2.7254846366874084,11,5,6,11,0,0,0,71.16666666666667,376.0,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065448.894849,TCP,czfe14-front01-iad01.transport.home.nest.com
92.0,84,100,11.860817748044816,0.0,-2.0,0.0030715,1.88682245e-05,0.0030715,-2.0,0.0,2,1,1,2,0,0,0,84.0,100.0,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065451.1241891,DNS,neu.edu
183.94117647058823,66,732,0.0,1.6553081500572802,0.9630015050302592,0.019775,0.001830418781875001,0.008020000000000001,9.828414954369638,3.319694795207464,17,8,9,17,0,0,0,207.44444444444446,157.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:10:30.41s,1629065449.89184,TCP,czfe14-front01-iad01.transport.home.nest.com
92.0,84,100,11.860817748044816,0.0,-2.0,0.0028829999999999997,1.6623377999999997e-05,0.0028829999999999997,-2.0,0.0,2,1,1,2,0,0,0,84.0,100.0,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715049.4372969,DNS,neu.edu
209.54545454545453,66,1002,0.0,2.0192820507857916,2.715963294577646,0.024127545454545454,0.002517084278272727,0.000795,3.2851652771866586,2.1530356625262863,11,5,6,11,0,0,0,71.16666666666667,375.6,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715038.685787,TCP,czfe33-front01-iad01.transport.home.nest.com
178.1764705882353,66,634,0.0,1.5969289021971078,0.696226315789461,0.018178176470588232,0.001815434584029412,0.005228,9.989344414937074,3.3520638912072496,17,8,9,17,0,0,0,196.55555555555554,157.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715051.305161,TCP,czfe33-front01-iad01.transport.home.nest.com
184.0,66,732,0.0,1.6551378269815913,0.9616767835767748,0.019686000000000002,0.001551443075125,0.008034999999999999,9.423836307236831,3.237869240927589,17,8,9,17,0,0,0,207.44444444444446,157.625,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715039.637121,TCP,czfe33-front01-iad01.transport.home.nest.com
92.0,84,100,11.860817748044816,0.0,-2.0,0.0038985,3.0396604500000002e-05,0.0038985,-2.0,0.0,2,1,1,2,0,0,0,84.0,100.0,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715049.436082,DNS,neu.edu
343.0,66,1514,11.860817748044816,1.5068696935809527,0.632497069708585,0.0066299374999999995,3.45132488625e-05,0.0067740000000000005,-1.3858320126809773,0.18571331081348597,16,6,10,16,0,0,0,394.3,257.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715039.367646,TCP,czfe33-front01-iad01.transport.home.nest.com
366.84615384615387,66,1514,11.860817748044816,1.4963516035253863,0.7449583302733331,0.009385307692307691,0.00015923166623076922,0.006346,4.364659247112553,2.192550035766865,13,5,8,13,0,0,0,472.75,197.4,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715039.971141,TCP,czfe33-front01-iad01.transport.home.nest.com
440.6896551724138,66,3253,0.0,2.395394039151899,5.732380947229933,0.010948689655172414,0.0005792844441502463,0.0025329999999999997,6.498597344601546,2.8067779880630623,29,12,17,29,0,0,0,498.88235294117646,358.25,0.0,0.0,nest-tstat,android_wan_on,2021-08-11_16:50:19.41s,1628715049.44778,TCP,logsink.devices.nest.com
224.1,66,1002,0.0,1.8628186060333893,2.0716266743707497,0.0047396,4.2990979822222225e-05,0.0022814999999999997,0.4667605268344541,1.284980458647627,10,4,6,10,0,0,0,71.16666666666667,453.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066749.6003091,TCP,czfe14-front01-iad01.transport.home.nest.com
209.54545454545453,66,1002,0.0,2.0192820507857916,2.715963294577646,0.025157545454545457,0.003663046706472727,0.000231,5.3095158797013084,2.6304156949214863,11,5,6,11,0,0,0,71.16666666666667,375.6,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066745.107319,TCP,czfe14-front01-iad01.transport.home.nest.com
366.7692307692308,66,1514,11.860817748044816,1.4964150389674675,0.7458827304760387,0.019894846153846155,0.0020951109686410253,0.006464,7.4264288823502085,3.0125052379580253,13,5,8,13,0,0,0,472.625,197.4,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066729.045987,TCP,czfe14-front01-iad01.transport.home.nest.com
345.2857142857143,66,1514,11.860817748044816,1.608276117453459,1.1106192828501946,0.045779071428571426,0.00955486290407143,0.003869,3.3384841295776138,2.201867934753525,14,6,8,14,0,0,0,472.625,175.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066749.89693,TCP,czfe14-front01-iad01.transport.home.nest.com
366.61538461538464,66,1514,11.860817748044816,1.4965467371828352,0.7477554011707235,0.016694076923076923,0.0015550798024102563,0.005945000000000001,7.586244230079915,3.0479500468954352,13,5,8,13,0,0,0,472.375,197.4,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066745.6381938,TCP,czfe14-front01-iad01.transport.home.nest.com
184.0,66,732,0.0,1.6551378269815913,0.9616767835767748,0.009253294117647057,0.00015451020309558818,0.004318,5.754110771537727,2.3655990858150884,17,8,9,17,0,0,0,207.44444444444446,157.625,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_17:57:32.42s,1629064673.48817,TCP,czfe14-front01-iad01.transport.home.nest.com
183.94117647058823,66,732,0.0,1.6553081500572802,0.9630015050302592,0.011792823529411764,0.00019231116077941173,0.008291,1.943319205044439,1.6644541134418596,17,8,9,17,0,0,0,207.44444444444446,157.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066745.858392,TCP,czfe14-front01-iad01.transport.home.nest.com
148.77777777777777,66,629,0.0,2.1880896487576837,3.1821595688792828,0.007735888888888888,0.00011712994261111112,0.001312,-0.5470893802893944,1.086529458147947,9,4,5,9,0,0,0,72.2,244.5,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:32:07.41s,1629066728.6972258,TCP,czfe14-front01-iad01.transport.home.nest.com
367.0,66,1514,11.860817748044816,1.4962295491674016,0.7431333646723384,0.00869746153846154,0.0001177521671025641,0.005803,3.123288414382044,1.8300690432504796,13,5,8,13,0,0,0,473.0,197.4,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_17:57:32.42s,1629064673.639418,TCP,czfe14-front01-iad01.transport.home.nest.com
184.0,66,732,0.0,1.6551378269815913,0.9616767835767748,0.01957476470588235,0.0017501587008161767,0.006599,9.64471637864289,3.2818593101775937,17,8,9,17,0,0,0,207.44444444444446,157.625,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:40:45.41s,1629067271.4378588,TCP,czfe14-front01-iad01.transport.home.nest.com
326.8235294117647,66,1514,11.860817748044816,1.6005234981936398,0.9331678649222002,0.005509117647058824,3.0934591110294114e-05,0.003372,-1.119752643314956,0.6237076775095366,17,7,10,17,0,0,0,394.5,230.14285714285714,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_17:57:32.42s,1629064673.2431262,TCP,czfe14-front01-iad01.transport.home.nest.com
326.8235294117647,66,1514,11.860817748044816,1.6005234981936398,0.9331678649222002,0.0075241764705882355,4.522221540441177e-05,0.0065439999999999995,-1.6191149430202592,0.15167170887018225,17,7,10,17,0,0,0,394.5,230.14285714285714,0.0,0.0,nest-tstat,android_wan_on,2021-08-15_18:40:45.41s,1629067271.174431,TCP,czfe14-front01-iad01.transport.home.nest.com
